City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
597,Capaci,IT,89.26,clear sky,38.1711,13.2393,Hotel Sirenetta
598,Aneho,TG,77.2,overcast clouds,6.2333,1.6,Hotel La Linette
599,Honiara,SB,86.83,heavy intensity rain,-9.4333,159.95,Heritage Park Hotel
600,Morgan City,US,78.01,overcast clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
603,Sisophon,KH,83.98,overcast clouds,13.5859,102.9737,Pyramid Hotel
605,Rajmahal,IN,85.93,overcast clouds,25.05,87.8333,Marrage hall (विवाह भवन)
606,La Reforma,MX,83.95,overcast clouds,25.0833,-108.05,Hotel Reforma
611,Khorramshahr,IR,84.16,dust,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
612,Houma,US,79.0,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
615,Riyadh,SA,89.74,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
621,Dover,US,77.04,clear sky,39.1582,-75.5244,Bally's Dover Casino Resort
622,Constancia,MX,84.38,overcast clouds,24.2231,-107.1869,Mi casa
623,Ibra,OM,85.75,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
625,The Valley,AI,82.26,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
628,Male,MV,84.15,broken clouds,4.1748,73.5089,Hotel Octave Maldives
630,Davila,PH,85.98,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
633,Shenjiamen,CN,77.18,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
635,Mahibadhoo,MV,82.72,overcast clouds,3.7833,72.9667,Omadhoo Inn
636,Urumqi,CN,88.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
637,Sri Aman,MY,80.65,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
643,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
649,Nhulunbuy,AU,83.01,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
651,Mayo,US,79.21,few clouds,38.8876,-76.5119,Resorts Resource Group International
654,Dosso,NE,85.26,overcast clouds,13.049,3.1937,Hotel Toubal
656,Virginia Beach,US,79.02,scattered clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
658,Hami,CN,94.75,clear sky,42.8,93.45,Laoyutang Resort
663,Whitehorse,CA,75.02,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
664,Touros,BR,75.42,clear sky,-5.1989,-35.4608,INN NEW HORIZON
668,Progreso,MX,82.51,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
669,Shache,CN,89.51,scattered clouds,38.4167,77.2406,Delong Hotel
670,Shieli,KZ,91.56,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
672,Bend,US,88.88,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
674,Buchanan,LR,75.49,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
678,Oussouye,SN,78.98,overcast clouds,12.485,-16.5469,Auberge du Routard
681,Beyneu,KZ,86.22,overcast clouds,45.3167,55.2,NUR
683,Garango,BF,83.34,overcast clouds,11.8,-0.5506,La Case LAVAL-GARANGO
684,Kalaleh,IR,79.16,broken clouds,37.3807,55.4916,کلاله
685,Inuvik,CA,79.56,broken clouds,68.3499,-133.7218,Nova Inn Inuvik
687,Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
688,Fukue,JP,77.36,fog,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
