City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Paamiut,GL,61.994,-49.6678,39.96,88,100,18.3,overcast clouds
80,Pravia,ES,43.4906,-6.1508,55.22,100,75,3.44,broken clouds
81,Cherskiy,RU,68.75,161.3,53.1,24,0,15.97,clear sky
82,Vila Franca Do Campo,PT,37.7167,-25.4333,69.19,84,92,2.89,overcast clouds
83,Cayenne,GF,4.9333,-52.3333,78.1,1,0,2.3,clear sky
84,Magelang,ID,-7.4706,110.2178,74.37,95,97,5.55,overcast clouds
85,Kodiak,US,57.79,-152.4072,56.71,67,0,14.97,clear sky
86,Hearst,CA,49.6835,-83.6665,55.35,74,100,10.11,overcast clouds
87,Iqaluit,CA,63.7506,-68.5145,50.7,50,93,17.0,overcast clouds
88,Yar-Sale,RU,66.8333,70.8333,51.46,51,100,18.21,overcast clouds
89,Coihueco,CL,-36.6167,-71.8333,45.34,93,0,2.3,clear sky
90,Kiama,AU,-34.6833,150.8667,62.58,53,20,3.0,few clouds
91,Bambous Virieux,MU,-20.3428,57.7575,66.22,65,8,10.13,clear sky
92,Twin Falls,US,42.3505,-114.6445,84.54,14,0,0.0,clear sky
93,Beringovskiy,RU,63.05,179.3167,45.5,90,99,7.45,overcast clouds
94,Butaritari,KI,3.0707,172.7902,82.76,71,10,14.07,clear sky
95,San Bartolome De Tirajana,ES,27.9248,-15.5733,61.32,71,40,23.02,scattered clouds
96,Chuy,UY,-33.6971,-53.4616,47.64,83,100,4.63,light rain
97,Karlovac,HR,45.4872,15.5478,67.93,95,3,1.99,clear sky
98,Miri,MY,4.4148,114.0089,81.84,81,30,3.0,scattered clouds
99,Guerrero Negro,MX,27.9769,-114.0611,75.07,65,8,14.12,clear sky
100,San Policarpo,PH,12.1791,125.5072,82.63,84,99,13.71,moderate rain
101,Portland,US,45.5234,-122.6762,97.39,29,0,6.91,clear sky
102,Port Blair,IN,11.6667,92.75,82.44,83,75,2.3,broken clouds
103,Vuktyl,RU,63.8567,57.3094,40.03,74,95,11.77,overcast clouds
104,Ancud,CL,-41.8697,-73.8203,43.23,84,64,8.7,broken clouds
105,Port Macquarie,AU,-31.4333,152.9167,64.89,45,0,14.52,clear sky
106,Pingliang,CN,35.5392,106.6861,77.58,43,10,25.37,clear sky
107,Sur,OM,22.5667,59.5289,87.26,68,97,11.39,overcast clouds
108,Half Moon Bay,US,37.4636,-122.4286,79.79,77,100,24.16,overcast clouds
109,Severo-Kurilsk,RU,50.6789,156.125,46.81,97,100,11.07,light rain
110,San Joaquin,US,37.9333,-121.3011,98.53,18,0,14.97,clear sky
111,Tezu,IN,27.9167,96.1667,75.06,99,100,1.39,overcast clouds
112,Humberto De Campos,BR,-2.5983,-43.4611,73.9,91,13,1.74,few clouds
113,Esmeralda,CU,21.8525,-78.1169,76.78,89,100,5.26,light rain
114,Talnakh,RU,69.4865,88.3972,63.21,61,100,1.25,overcast clouds
115,Kholmogory,RU,64.2229,41.656,46.09,72,4,8.93,clear sky
116,Provideniya,RU,64.3833,-173.3,46.51,87,100,11.18,overcast clouds
117,Upernavik,GL,72.7868,-56.1549,40.73,70,100,6.08,overcast clouds
118,Hithadhoo,MV,-0.6,73.0833,83.59,72,99,11.61,light rain
119,Tiksi,RU,71.6872,128.8694,35.19,71,11,11.43,few clouds
120,Codrington,AU,-38.2667,141.9667,54.01,62,74,7.4,moderate rain
121,Bredasdorp,ZA,-34.5322,20.0403,47.37,79,1,3.96,clear sky
122,Thompson,CA,55.7435,-97.8558,68.16,49,100,11.5,overcast clouds
123,Tautira,PF,-17.7333,-149.15,79.81,73,14,17.98,light rain
124,Bubaque,GW,11.2833,-15.8333,81.23,78,70,6.13,broken clouds
125,Aborlan,PH,9.4352,118.5492,84.27,70,93,2.86,light rain
126,Komsomolskiy,UZ,40.4272,71.7189,83.12,30,0,6.91,clear sky
127,Roma,US,43.2128,-75.4557,73.09,94,100,8.05,overcast clouds
128,Nikolskoye,RU,59.7035,30.7861,63.91,73,0,4.54,clear sky
129,Victoria,HK,22.2855,114.1577,90.32,71,77,11.01,broken clouds
130,Sumbe,AO,-11.2061,13.8437,68.38,87,0,4.14,clear sky
131,Namibe,AO,-15.1961,12.1522,66.27,62,0,9.15,clear sky
132,Luanda,AO,-8.8368,13.2343,66.2,94,40,2.3,scattered clouds
133,Casa Nova,BR,-9.4167,-41.1333,75.36,60,35,17.58,scattered clouds
134,Ust-Nera,RU,64.5667,143.2,80.56,30,74,13.58,broken clouds
135,Ponta Do Sol,PT,32.6667,-17.1,66.83,56,23,6.29,few clouds
136,Harrisonburg,US,38.4496,-78.8689,70.34,91,0,0.0,clear sky
137,Berlevag,NO,70.8578,29.0864,50.0,62,32,9.22,scattered clouds
138,Ambulu,ID,-8.345,113.6058,80.01,77,52,8.61,broken clouds
139,Angoche,MZ,-16.2325,39.9086,71.17,69,12,10.13,few clouds
140,Avarua,CK,-21.2078,-159.775,77.05,73,75,20.71,broken clouds
141,Sao Filipe,CV,14.8961,-24.4956,75.24,76,97,6.93,overcast clouds
142,Winchester,GB,51.0651,-1.3187,57.51,85,32,5.75,scattered clouds
143,Pasewalk,DE,53.5063,13.99,72.1,77,3,6.26,clear sky
144,Matara,LK,5.9485,80.5353,79.45,86,86,10.83,overcast clouds
145,North Bend,US,43.4065,-124.2243,79.25,84,0,10.36,clear sky
146,Port Hardy,CA,50.6996,-127.4199,66.38,63,20,9.22,fog
147,Kalemie,CD,-5.9475,29.1947,70.56,71,1,14.27,clear sky
148,Huesca,ES,42.1362,-0.4087,59.68,84,75,11.5,broken clouds
149,Vardo,NO,70.3705,31.1107,46.38,87,100,8.05,overcast clouds
150,Hambantota,LK,6.1241,81.1185,81.12,77,53,19.26,broken clouds
151,Kamenka,RU,51.3223,42.7678,56.7,85,0,7.23,clear sky
